event_id,title,releaseyear,date,locations,funfacts,productioncompany,distributor,director,writer,actor1,actor2,actor3,sffindneighborhoods,analysisneighborhoods,currentsupervisordistricts
1,Experiment in Terror,1962,2999-01-07T07:00:00.000Z,The Sea Captain's Chest (Fisherman's Wharf),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,99,23,3
2,Experiment in Terror,1962,2999-01-07T07:00:00.000Z,100 St. Germain Avenue,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,47,38,8
3,Chan is Missing,1982,2999-01-07T07:00:00.000Z,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,104,6,3
4,A View to a Kill,1985,2999-01-07T07:00:00.000Z,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,99,23,3
5,The Californians,2005,2999-01-07T07:00:00.000Z,,,Parker Film Company,Fabrication Films,Jonathan Parker,Jonathan Parker & Catherine DiNapoli,Noah Wyle,,,21,36,10
6,Babies,2010,2999-01-07T07:00:00.000Z,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,21,36,10
7,I's,2011,2999-01-07T07:00:00.000Z,1 Post Street,,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,,19,8,3
8,When We Rise,2017,2999-01-07T07:00:00.000Z,Bay Bridge,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,,,
9,Nash Bridges,2021,2999-01-07T07:00:00.000Z,California Street at Davis,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,108,8,3
10,This Is Us,2022,2999-01-07T07:00:00.000Z,Alamo Square Park,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,22,9,11
11,The Rock,1996,2999-01-07T07:00:00.000Z,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,18,23,3
12,Blue Jasmine,2013,2999-01-07T07:00:00.000Z,Pacific & Divisadero,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,102,30,6
13,The Caine Mutiny,1954,2999-01-07T07:00:00.000Z,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,,,
14,The Diary of a Teenage Girl,2015,2999-01-07T07:00:00.000Z,700 Kansas St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,54,26,9
15,Venom,2018,2999-01-07T07:00:00.000Z,Grant Ave btwn Clay and Jackson,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,104,6,3
16,"Murder in the First, Season 1",2014,2999-01-07T07:00:00.000Z,13 Lucky Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,53,20,2
17,GirlBoss,2017,2999-01-07T07:00:00.000Z,"The Castro Theater, 429 Castro St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,38,5,5
18,Sense8 - Season 2,2016,2999-01-07T07:00:00.000Z,Clay between Stockton and Grant,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,104,6,3
19,The Pursuit of Happyness,2006,2999-01-07T07:00:00.000Z,Glen Park Subway Station,,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,59,10,5
20,Women is Losers,2020,2999-01-07T07:00:00.000Z,Capp St at 25th St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2
21,Birth of the Dragon,2016,2999-01-07T07:00:00.000Z,Leavenworth at Green,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,107,32,3
22,The OA Part II,2019,2999-01-07T07:00:00.000Z,Waverly Pl btwn Washington and Clay St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,,,
23,Chance- Season 1 ep107,2016,2999-01-07T07:00:00.000Z,1958 Valencia St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,,,
24,Down Periscope,1996,2999-01-07T07:00:00.000Z,,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,David S. Ward,Hugh Wilson,Kelsey Grammar,Lauren Holly,,21,36,10
